aX,aY,aZ,gX,gY,gZ
-3.978,2.987,-4.000,24.902,-131.958,-183.899
-1.785,1.091,-1.367,-310.669,-375.183,-60.425
0.555,-0.117,1.542,-482.910,-485.779,73.853
2.834,-0.376,2.836,-366.211,-461.060,164.795
4.000,-0.296,2.450,-145.874,-329.041,158.691
4.000,-0.333,1.796,-18.005,-162.415,72.510
4.000,-0.720,1.347,23.254,-40.710,-24.963
4.000,-1.193,0.807,44.739,42.053,-84.412
3.424,-1.333,0.141,63.782,116.333,-86.853
1.992,-1.064,-0.581,71.594,170.898,-48.340
0.646,-0.573,-1.302,66.345,190.308,0.427
-0.299,-0.044,-1.815,47.729,179.077,38.025
-0.947,0.377,-1.984,18.738,144.470,55.298
-1.368,0.669,-2.000,-4.944,97.656,52.795
-1.599,0.880,-2.058,-13.794,50.842,39.124
-1.593,1.001,-1.985,-8.667,5.371,24.658
-1.286,1.044,-1.857,-16.174,-44.922,17.822
-0.786,1.086,-1.553,-27.039,-85.205,17.090
-0.254,1.055,-1.206,-34.973,-111.023,14.404
0.172,0.951,-0.949,-35.950,-118.408,2.869
0.405,0.765,-0.870,-27.039,-109.375,-20.386
0.507,0.570,-0.962,-13.794,-94.910,-47.485
0.449,0.409,-1.098,-5.249,-83.923,-70.129
0.324,0.306,-1.246,-3.235,-78.613,-84.229
0.247,0.235,-1.342,-6.165,-80.627,-90.454
0.130,0.145,-1.358,-15.564,-91.431,-88.562
0.059,0.026,-1.338,-33.264,-104.675,-72.266
0.090,-0.044,-1.274,-59.204,-119.934,-38.940
0.132,-0.035,-1.193,-84.290,-138.855,4.028
0.228,0.009,-1.069,-102.478,-159.729,39.368
0.337,0.064,-0.909,-106.689,-180.298,56.519
0.460,0.129,-0.725,-95.032,-197.144,55.298
0.618,0.204,-0.518,-75.500,-206.482,40.344
0.762,0.291,-0.299,-54.932,-207.275,15.564
0.829,0.345,-0.128,-27.527,-200.806,-20.325
0.821,0.308,-0.084,8.362,-189.514,-63.416
0.837,0.166,-0.112,26.550,-179.993,-92.407
0.831,0.012,-0.099,17.456,-176.208,-91.309
0.841,-0.104,-0.015,-11.902,-169.800,-58.289
0.809,-0.145,0.006,-49.255,-150.696,-1.404
0.841,-0.092,-0.018,-85.449,-123.474,64.453
0.949,0.027,-0.004,-110.840,-106.506,114.868
1.025,0.214,0.079,-107.910,-110.779,122.925
1.075,0.346,0.167,-74.951,-130.066,79.163
1.037,0.343,0.247,-26.428,-152.466,-5.737
0.947,0.131,0.294,23.682,-165.955,-100.220
0.790,-0.136,0.251,67.322,-165.833,-170.288
0.668,-0.382,0.167,90.820,-156.189,-197.876
0.595,-0.497,0.086,85.327,-144.104,-175.781
0.552,-0.465,0.047,54.565,-129.700,-108.093
0.590,-0.303,0.026,-1.892,-107.117,-16.296
0.725,-0.080,0.112,-61.707,-85.266,68.604
0.917,0.168,0.349,-101.318,-72.754,117.188
1.102,0.322,0.550,-102.356,-70.557,111.938
1.152,0.366,0.617,-68.237,-74.829,59.692
1.095,0.280,0.556,-20.020,-79.468,-23.254
0.954,0.110,0.423,28.198,-82.336,-110.596
0.812,-0.165,0.287,60.669,-87.891,-173.096
0.752,-0.487,0.220,67.139,-91.675,-190.186
0.768,-0.661,0.232,48.767,-85.449,-153.137
0.822,-0.619,0.228,15.320,-69.763,-75.378
0.890,-0.452,0.212,-30.151,-48.828,10.620
0.980,-0.214,0.261,-72.266,-32.410,77.393
1.117,-0.037,0.351,-90.027,-25.574,104.187
1.195,0.056,0.420,-86.304,-27.527,90.698
1.192,0.026,0.449,-64.636,-31.982,47.974
1.135,-0.073,0.414,-34.302,-33.264,-3.784
1.067,-0.190,0.360,-7.568,-32.593,-48.218
1.020,-0.278,0.276,13.550,-31.372,-72.693
0.987,-0.311,0.176,26.733,-30.518,-75.256
0.978,-0.324,0.125,26.733,-28.992,-62.927
0.967,-0.299,0.115,17.700,-24.902,-41.077
0.986,-0.263,0.093,5.737,-17.822,-16.235
0.992,-0.222,0.056,-5.676,-10.742,6.897
1.024,-0.112,0.001,-14.648,-5.371,24.841
1.024,-0.057,0.029,-21.240,-6.287,26.306
1.018,-0.056,0.079,-25.208,-9.277,20.630
1.014,-0.056,0.079,-21.240,-10.132,13.733
1.043,-0.073,0.044,-12.268,-11.658,3.113
1.051,-0.104,0.041,-7.263,-15.320,-9.705
1.052,-0.143,0.082,-8.179,-18.860,-17.883
1.046,-0.161,0.108,-7.263,-20.935,-20.874
1.059,-0.195,0.126,-4.944,-20.447,-20.142
1.070,-0.236,0.147,-4.150,-18.982,-15.564
1.073,-0.251,0.157,-3.235,-14.832,-6.958
1.072,-0.243,0.160,-3.662,-9.338,2.991

