aX,aY,aZ,gX,gY,gZ
0.691,-0.676,0.016,-6.836,-10.559,1.343
0.696,-0.648,0.015,-5.981,-9.583,-4.578
0.688,-0.660,0.009,-3.906,-9.033,-13.916
0.678,-0.692,0.012,-3.601,-9.705,-20.996

1.032,-1.354,0.749,-0.427,3.906,-9.277
1.135,-1.675,1.003,-3.845,5.310,-11.230
1.236,-2.001,1.326,-5.371,7.263,-6.348
1.361,-2.425,1.743,-4.822,9.583,6.592
1.494,-2.905,2.253,-0.061,16.785,35.767
1.514,-3.142,2.690,19.409,34.424,88.318
1.429,-2.974,3.044,55.420,59.082,155.090
1.259,-2.588,3.255,109.009,90.454,217.468
0.996,-1.959,3.108,175.842,135.254,259.033
0.673,-1.323,2.771,224.609,189.880,274.658
0.210,-0.889,2.419,237.549,240.845,272.705
-0.318,-0.770,2.006,227.356,289.246,269.714
-0.721,-0.824,1.432,210.388,334.900,282.715
-0.952,-0.869,0.835,174.255,360.901,318.237
-1.034,-0.941,0.391,119.751,369.080,360.779
-1.022,-1.114,0.169,70.740,367.737,398.437
-0.859,-1.175,0.115,51.819,365.479,429.016
-0.681,-0.982,-0.188,87.341,375.732,441.040
-0.880,-0.573,-0.403,146.912,403.870,415.161
-1.572,0.046,-0.379,211.243,454.407,344.849
-2.921,1.194,-0.655,312.073,524.292,230.713
-4.000,2.926,-1.298,444.824,576.050,84.290
-4.000,4.000,-2.365,537.231,543.945,-63.293
-4.000,4.000,-3.988,512.268,382.812,-143.311
-4.000,4.000,-4.000,315.125,157.410,-134.949
-3.920,4.000,-3.656,-33.081,-34.302,-80.017
-2.534,3.298,-1.078,-370.117,-217.834,4.150
-0.834,1.215,0.893,-508.301,-368.408,77.026
0.966,0.182,1.762,-455.078,-413.513,126.953
2.666,-0.273,1.795,-337.158,-345.459,134.888
3.911,-0.702,1.500,-213.928,-231.445,70.435
4.000,-1.216,1.119,-105.530,-129.700,-45.410
3.718,-1.647,0.662,-9.949,-41.504,-156.982
2.911,-1.746,0.003,69.214,36.438,-222.412
1.986,-1.521,-0.735,117.004,85.938,-234.436
1.040,-1.127,-1.350,131.287,99.304,-210.083
0.309,-0.695,-1.809,114.258,84.839,-160.339
-0.173,-0.235,-1.981,65.552,49.622,-87.769
-0.403,0.207,-1.911,-5.127,1.038,-6.775
-0.457,0.573,-1.671,-75.378,-46.204,62.378
-0.416,0.844,-1.414,-122.131,-82.458,105.225
-0.289,1.015,-1.195,-138.672,-107.971,117.554
-0.132,1.114,-1.076,-129.883,-124.207,101.379
0.043,1.105,-1.049,-106.934,-133.179,61.340
0.222,0.975,-1.060,-82.153,-137.573,9.766
0.339,0.715,-1.009,-67.749,-138.306,-41.870
0.399,0.369,-0.877,-63.477,-135.803,-85.144
0.459,0.045,-0.710,-63.110,-134.277,-113.464
0.560,-0.176,-0.535,-64.453,-133.484,-121.643
0.652,-0.294,-0.431,-64.819,-133.362,-109.924
0.695,-0.315,-0.458,-68.665,-134.033,-85.693
0.755,-0.234,-0.512,-81.421,-137.085,-56.274
0.821,-0.145,-0.449,-103.210,-145.325,-30.701
0.849,-0.105,-0.246,-117.676,-153.992,-16.968
0.892,-0.072,-0.054,-117.493,-155.151,-14.709
0.975,0.060,-0.033,-104.797,-145.203,-22.034
1.021,0.169,-0.096,-79.407,-130.432,-50.964
0.973,0.172,-0.133,-59.753,-120.422,-101.807
0.837,-0.041,-0.112,-45.044,-114.380,-156.250
0.675,-0.492,-0.076,-39.185,-107.971,-191.956
0.600,-0.836,-0.056,-45.044,-96.802,-184.570
0.594,-0.876,-0.024,-62.256,-91.187,-128.479
0.616,-0.731,-0.034,-85.388,-88.074,-48.157
0.643,-0.496,-0.036,-112.305,-79.773,27.161
0.689,-0.244,-0.072,-132.996,-71.838,79.773
0.837,-0.050,-0.075,-140.625,-72.449,96.008
1.002,0.099,0.046,-133.240,-85.510,71.350
1.065,0.157,0.241,-111.450,-98.328,6.409
0.994,0.059,0.301,-74.707,-97.412,-82.947
0.840,-0.140,0.185,-35.095,-89.600,-166.565
0.678,-0.539,0.071,-13.184,-84.778,-217.407
0.585,-0.929,0.085,-15.320,-76.782,-216.125
0.564,-1.092,0.196,-34.729,-60.303,-161.072
0.612,-1.039,0.254,-59.448,-45.349,-78.369
