aX,aY,aZ,gX,gY,gZ
0.612,1.511,0.704,53.528,83.374,-100.586
0.494,1.382,0.633,63.538,68.237,-128.174
0.419,1.303,0.624,60.181,56.702,-135.742
0.293,1.227,0.641,53.162,54.810,-130.554
0.270,1.031,0.485,57.251,63.965,-124.695
0.379,0.771,0.264,57.190,68.848,-114.441
0.560,0.529,0.068,50.598,73.303,-106.506
0.722,0.319,-0.118,43.274,80.688,-100.952
0.835,0.153,-0.265,40.222,92.163,-94.727
0.894,0.090,-0.357,37.842,105.530,-86.243
0.879,0.097,-0.406,37.415,117.432,-78.613
0.831,0.172,-0.403,42.480,124.573,-74.768
0.759,0.244,-0.476,50.415,127.258,-72.876
0.708,0.269,-0.642,60.608,128.296,-75.012
0.670,0.261,-0.797,65.491,124.634,-79.346
0.687,0.170,-0.948,63.171,112.000,-83.252
0.724,0.051,-1.017,55.542,89.539,-86.670
0.754,-0.015,-0.981,44.006,61.218,-89.050
0.791,-0.033,-0.853,32.166,33.264,-91.858
0.816,-0.086,-0.737,24.597,13.306,-93.872
0.796,-0.192,-0.712,20.386,6.287,-91.675
0.843,-0.182,-0.595,11.414,5.310,-81.360
0.848,-0.128,-0.647,3.723,19.531,-65.369
0.897,-0.095,-0.591,7.996,24.109,-50.232
0.896,-0.059,-0.567,9.949,20.996,-40.344
0.898,-0.006,-0.534,11.780,18.982,-36.133
0.909,0.076,-0.474,14.893,14.465,-37.109
0.898,0.131,-0.440,19.958,8.911,-40.833
0.890,0.162,-0.438,25.513,3.662,-46.570
0.896,0.151,-0.463,27.100,-1.282,-53.345
0.919,0.134,-0.450,20.752,-8.972,-56.030
0.958,0.124,-0.380,8.057,-20.081,-54.016
1.001,0.093,-0.292,-3.418,-26.978,-49.744
1.023,0.099,-0.162,-12.329,-27.100,-44.067
1.055,0.115,-0.030,-20.386,-23.193,-37.842
1.085,0.093,0.031,-24.536,-14.404,-31.372
1.095,0.037,0.016,-21.362,-2.258,-26.367
1.078,0.008,-0.025,-14.832,8.545,-23.376
1.037,0.015,-0.074,-6.958,15.625,-22.339
1.018,0.014,-0.136,1.465,16.235,-23.071
1.019,0.026,-0.190,8.850,12.939,-24.658
1.011,0.038,-0.234,14.282,9.338,-27.527
0.981,0.064,-0.250,17.212,6.958,-31.067
0.957,0.100,-0.247,16.052,3.479,-33.325
0.952,0.114,-0.244,10.864,0.183,-33.020
0.951,0.106,-0.239,3.784,-0.854,-31.189
0.957,0.098,-0.221,-3.845,0.549,-29.358
0.972,0.061,-0.200,-10.986,3.479,-27.283
0.981,0.023,-0.192,-15.625,7.935,-25.330
0.971,-0.001,-0.178,-16.418,12.268,-24.780
0.965,-0.022,-0.183,-13.428,14.160,-24.902
0.962,-0.060,-0.205,-6.958,13.977,-26.550
0.948,-0.084,-0.239,0.305,12.756,-28.625
0.930,-0.091,-0.264,6.531,10.315,-29.480
0.921,-0.085,-0.278,11.047,7.385,-28.381
0.916,-0.076,-0.286,13.428,3.479,-25.696
0.936,-0.053,-0.278,12.939,0.732,-21.790
0.952,-0.033,-0.269,9.521,0.488,-18.616
0.961,-0.026,-0.273,5.432,2.380,-15.259
0.978,-0.035,-0.281,0.183,5.310,-11.963
0.978,-0.049,-0.277,-5.066,9.094,-9.216
0.968,-0.054,-0.261,-9.399,12.756,-7.202
0.961,-0.068,-0.249,-11.414,15.076,-5.737
0.952,-0.087,-0.245,-9.827,15.442,-5.493
0.937,-0.094,-0.242,-6.104,14.343,-5.859
0.922,-0.098,-0.247,-1.282,11.841,-6.042
0.913,-0.101,-0.260,3.723,9.338,-5.432
0.919,-0.091,-0.272,7.690,6.958,-3.967
0.921,-0.083,-0.276,9.644,4.822,-2.380
0.925,-0.070,-0.278,9.583,3.540,-1.038
0.923,-0.051,-0.272,8.423,4.089,0.610
0.935,-0.032,-0.262,5.493,5.249,2.502
0.943,-0.026,-0.262,2.808,6.653,4.089
0.944,-0.022,-0.258,0.610,7.568,5.066
0.958,-0.016,-0.250,-0.793,6.958,5.249
0.970,-0.015,-0.245,0.183,4.883,3.967
0.974,-0.014,-0.242,2.808,2.075,1.404
