aX,aY,aZ,gX,gY,gZ
0.945,0.046,-0.091,6.714,0.671,-2.258

1.665,-0.643,-1.405,25.269,28.076,37.659
1.834,-0.893,-1.945,25.330,53.406,46.692
1.928,-1.102,-2.512,18.921,83.130,60.181
1.834,-1.203,-3.095,5.493,110.107,73.853
1.604,-1.264,-3.742,-18.860,132.446,88.745
1.337,-1.216,-4.000,-58.655,152.161,115.295
0.988,-1.014,-4.000,-110.596,165.771,161.133
0.526,-0.629,-4.000,-164.185,157.166,213.745
0.035,-0.325,-4.000,-190.308,118.408,240.234
-0.391,-0.043,-4.000,-182.495,40.833,232.727
-0.822,0.117,-4.000,-149.231,-73.792,187.744
-1.379,0.298,-3.791,-100.037,-199.646,124.084
-2.145,0.561,-2.597,-59.326,-312.927,80.505
-3.017,1.202,-0.817,-46.509,-393.494,94.299
-3.986,2.530,1.938,-70.068,-419.617,160.339
-4.000,4.000,4.000,-126.038,-394.775,237.610
-4.000,4.000,4.000,-180.481,-364.746,287.476
-3.496,4.000,4.000,-218.872,-437.500,329.407
1.040,4.000,4.000,-244.263,-529.419,368.164
4.000,2.026,4.000,-199.036,-486.328,291.199
4.000,-0.325,4.000,-45.898,-373.352,43.762
3.944,-1.001,4.000,172.546,-225.586,-269.226
1.588,-0.838,3.913,354.797,-80.078,-415.527
0.328,0.387,2.345,370.422,65.125,-301.941
-0.043,1.702,1.473,231.445,219.788,-80.505
-0.510,2.188,0.714,63.171,359.497,43.152
-1.215,1.869,0.112,-53.101,413.330,47.974
-1.562,1.451,-0.201,-102.783,381.226,4.028
-1.531,1.140,-0.391,-93.750,308.777,-39.490
-1.275,1.032,-0.450,-65.186,235.535,-65.613
-0.986,1.060,-0.420,-36.316,181.641,-74.585
-0.737,1.052,-0.345,-14.160,138.245,-78.613
-0.452,0.923,-0.242,-0.366,98.816,-83.374
-0.150,0.850,-0.057,7.874,65.613,-85.754
0.134,0.812,0.106,17.944,46.326,-86.853
0.339,0.856,0.238,28.625,42.786,-91.248
0.391,0.893,0.319,37.048,54.077,-100.525
0.370,0.854,0.239,48.950,67.627,-108.521
